Year,Median CPI
1983,5.0146534
1983,4.952545117
1983,3.612260556
1983,4.828054152
1983,3.767326298
1983,2.441297751
1983,3.69758219
1983,4.896990368
1983,4.837827872
1983,4.709706722
1983,4.882071736
1983,3.626765694
1984,4.852490457
1984,4.632377429
1984,3.923226163
1984,4.47375382
1984,3.397504804
1984,4.540476405
1984,4.709706722
1984,4.691308114
1984,4.47687654
1984,3.496534119
1984,2.60802525
1984,3.520313904
1985,3.074902723
1985,5.603397506
1985,4.714338131
1985,4.493616325
1985,3.30709307
1985,4.937368526
1985,2.431483442
1985,3.459635635
1985,3.449608018
1985,3.462854485
1985,5.392038711
1985,3.083169607
1986,4.423300377
1986,3.170191096
1986,4.386848149
1986,4.169624405
1986,2.242973307
1986,3.394287817
1986,4.019606265
1986,3.282863636
1986,4.001443112
1986,4.170621039
1986,4.605737233
1986,3.927452734
1987,5.358297846
1987,3.337758064
1987,3.798985575
1987,4.73286577
1987,4.506360417
1987,2.868557467
1987,4.187814481
1987,3.313027603
1987,5.227581401
1987,3.784955092
1987,3.32526844
1987,2.840113035
1988,3.318591387
1988,2.90883517
1988,4.419180052
1988,4.737497993
1988,3.413591238
1988,4.673037474
1988,4.570726716
1988,5.273484963
1988,5.009382069
1988,4.272697735
1988,2.956645472
1988,3.950079874
1989,4.681421776
1989,5.209476425
1989,5.034610401
1989,4.879063021
1989,5.388009274
1989,3.855001158
1989,5.814260244
1989,2.855873684
1989,3.472882908
1989,5.169128098
1989,4.162523764
1989,3.770181376
1990,5.216139935
1990,4.981650393
1990,5.25046788
1990,5.314373822
1990,3.966493807
1990,5.627999311
1990,5.302671688
1990,5.665606063
1990,2.816722708
1990,4.553350484
1990,3.613996115
1990,5.055826119
1991,5.562784486
1991,4.355024175
1991,3.655285369
1991,3.372761236
1991,4.468507632
1991,2.901936412
1991,4.442030312
1991,3.089832465
1991,4.065400078
1991,2.335350136
1991,4.291777169
1991,2.645996956
1992,1.732730355
1992,2.588859589
1992,3.787065904
1992,2.428294262
1992,2.802321542
1992,4.288908939
1992,1.77845401
1992,2.117272656
1992,1.864709581
1992,3.783837809
1992,3.275941898
1992,1.878013906
1993,3.442923848
1993,2.296625869
1993,1.700795936
1993,4.096520336
1993,2.975504052
1993,2.54857378
1993,1.688853362
1993,2.528927551
1993,2.334001914
1993,3.699815313
1993,3.636064714
1993,2.817707471
1994,2.711771858
1994,3.605814301
1994,2.174536386
1994,2.514685981
1994,2.901813347
1994,2.894791964
1994,2.069453081
1994,3.518703772
1994,3.747093671
1994,2.220319586
1994,4.392090577
1994,1.216085932
1995,4.186194834
1995,3.337634521
1995,3.26457127
1995,3.658509799
1995,3.559462577
1995,2.099536659
1995,3.032715326
1995,2.942349451
1995,3.263211954
1995,3.227007329
1995,2.669228991
1995,2.579646739
1996,3.775767724
1996,2.618960712
1996,3.110564773
1996,3.133275713
1996,2.937790058
1996,2.511248662
1996,3.196372463
1996,2.321500991
1996,3.130189825
1996,2.881981803
1996,3.496534119
1996,2.200241216
1997,3.026179054
1997,2.342949512
1997,2.953194572
1997,2.98770835
1997,2.635673455
1997,2.498482647
1997,2.026176338
1997,2.315618689
1997,2.531996943
1997,2.481544929
1997,2.707959678
1997,3.068734234
1998,2.421792778
1998,2.870650942
1998,2.443015323
1998,2.274818748
1998,3.037772168
1998,3.123894748
1998,3.214777163
1998,3.371771602
1998,3.16623972
1998,3.337016067
1998,2.193018784
1998,1.993668723
1999,1.549172043
1999,1.740410613
1999,1.8426208
1999,2.675990382
1999,1.715177476
1999,1.182844605
1999,2.39370687
1999,2.361582428
1999,2.480563118
1999,1.693605865
1999,2.187755272
1999,2.602373445
2000,3.851771126
2000,2.785583925
2000,3.416808776
2000,2.276901266
2000,2.853533845
2000,3.142534503
2000,3.436363353
2000,2.875700615
2000,3.068734234
2000,2.701073265
2000,2.651774
2000,3.296461023
2001,4.076477832
2001,2.836788954
2001,2.992146605
2001,3.144633088
2001,3.501116192
2001,3.521800315
2001,2.435041108
2001,3.805442846
2001,2.782507575
2001,4.184076582
2001,3.443171412
2001,2.475286032
2002,2.761589672
2002,3.383524075
2002,2.872621423
2002,2.676482145
2002,2.420198438
2002,2.502533199
2002,2.245055231
2002,2.285721776
2002,2.717797898
2002,2.313903075
2002,1.910976007
2002,3.012614285
2003,2.181390428
2003,1.975830234
2003,1.126211809
2003,0.55303689
2003,1.075788186
2003,1.123059635
2003,2.671073123
2003,2.357414269
2003,2.022265145
2003,2.095867494
2003,1.186362412
2003,1.798822339
2004,2.220074706
2004,2.912654553
2004,2.734402268
2004,2.538381927
2004,3.217494891
2004,2.724931449
2004,1.77113696
2004,2.873237452
2004,2.146634995
2004,2.660501094
2004,1.480066306
2004,1.915249726
2005,3.421759136
2005,3.304002291
2005,1.897179395
2005,2.096479013
2005,3.168462352
2005,1.624775389
2005,3.028645573
2005,2.222156203
2005,4.024707241
2005,3.331575156
2005,2.836911948
2005,2.204893199
2006,2.884321866
2006,2.072020874
2006,3.082182514
2006,2.887031617
2006,4.288160685
2006,3.199830835
2006,3.053930524
2006,4.621370397
2006,2.106263773
2006,3.65069704
2006,3.024699168
2006,2.725546544
2007,2.964410263
2007,4.44702564
2007,2.688531122
2007,2.368325368
2007,2.353491438
2007,3.268031737
2007,2.828170985
2007,2.184572805
2007,3.704406008
2007,3.434630521
2007,3.475359353
2007,2.982653884
2008,3.283605276
2008,2.857474363
2008,3.040485746
2008,2.241013884
2008,2.46276929
2008,4.053700895
2008,3.989128739
2008,2.940131285
2008,3.174389708
2008,2.201710242
2008,1.936253666
2008,0.363484151
2009,2.403640625
2009,2.143576057
2009,1.908289831
2009,1.861170199
2009,1.293768937
2009,0.755845909
2009,0.125832513
2009,1.625506108
2009,0.914369784
2009,1.190365419
2009,0.516016421
2009,0.46081041
2010,0.680110846
2010,-0.106627854
2010,-0.286064246
2010,0.452616254
2010,0.27574789
2010,1.264752677
2010,0.632305068
2010,0.430205934
2010,1.536272277
2010,1.126090571
2010,1.318298981
2010,1.393380281
2011,2.27322626
2011,2.816968898
2011,1.744189983
2011,2.249219196
2011,2.30581554
2011,1.926728076
2011,2.537031376
2011,3.177970772
2011,2.491977079
2011,2.022265145
2011,1.847013799
2011,2.374333058
2012,3.198089285
2012,1.684551913
2012,2.420296321
2012,2.285133843
2012,1.732072072
2012,1.922063278
2012,2.083711194
2012,2.423866019
2012,2.286603743
2012,1.875047663
2012,2.072155379
2012,1.790650166
2013,2.741807504
2013,2.451542228
2013,1.215357912
2013,2.088884186
2013,1.956382332
2013,2.13725044
2013,2.003200047
2013,2.148029899
2013,2.232160173
2013,1.163729291
2013,2.605506407
2013,2.844644082
2014,2.406326504
2014,2.350831346
2014,2.858976675
2014,2.214932229
2014,2.545626607
2014,1.311364441
2014,2.404903838
2014,1.751736915
2014,1.935410985
2014,2.428956551
2014,2.256310541
2014,2.383394246
2015,1.947529599
2015,1.954494516
2015,2.433335926
2015,2.962650539
2015,2.501291099
2015,2.972399564
2015,1.922025301
2015,1.635790632
2015,2.998415693
2015,2.283164491
2015,2.2654806
2015,1.834719696
2016,2.708416591
2016,2.537714401
2016,2.222004559
2016,3.825477883
2016,3.280519188
2016,2.103390461
2016,2.490164711
2016,2.742570891
2016,2.498329335
2016,2.018025562
2016,2.458831516
2016,2.038385108
2017,3.349229755
2017,2.617780118
2017,1.46502021
2017,2.082092411
2017,2.155113227
2017,1.823600386
2017,2.196740888
2017,2.74621021
2017,2.826433929
2017,2.387706625
2017,2.212338729
2017,2.955747189
2018,3.629277308
2018,2.068995264
2018,2.278592817
2018,2.932009148
2018,3.111316237
2018,3.011893275
2018,2.276498099
2018,2.296711287
2018,2.678287111
2018,2.324866269
2018,3.483437109
2018,2.926895095
2019,2.942152854
2019,2.856344407
2019,2.989458261
2019,3.167588475
2019,2.558535146
2019,3.974727759
2019,2.617853413
2019,2.625756631
2019,3.150655203
2019,2.702275483
2019,2.960686059
2019,1.999222392
2020,2.59221521
2020,2.788786348
2020,2.576729996
2020,1.763131534
2020,3.091993616
2020,1.709123333
2020,2.842426394
2020,2.43336279
2020,1.16580287
2020,2.795756651
2020,0.975507966
2020,1.731006049
2021,0.976160136
2021,2.836341316
2021,1.833169138
2021,2.895341378
2021,3.208221912
2021,2.905623807
2021,3.679800766
2021,4.095075378
2021,5.569046386
2021,7.102638811
2021,5.588954147
