DATE,LES1252881500Q
1979,232
1979,239
1979,243
1979,248
1980,254
1980,257
1980,266
1980,269
1981,276
1981,279
1981,285
1981,292
1982,295
1982,301
1982,303
1982,306
1983,309
1983,311
1983,316
1983,316
1984,321
1984,323
1984,327
1984,333
1985,334
1985,347
1985,345
1985,348
1986,352
1986,358
1986,359
1986,365
1987,366
1987,371
1987,377
1987,378
1988,382
1988,382
1988,387
1988,390
1989,393
1989,398
1989,401
1989,406
1990,408
1990,412
1990,412
1990,417
1991,426
1991,423
1991,427
1991,430
1992,437
1992,438
1992,443
1992,443
1993,450
1993,457
1993,461
1993,465
1994,463
1994,467
1994,467
1994,470
1995,473
1995,477
1995,484
1995,482
1996,484
1996,488
1996,493
1996,496
1997,499
1997,502
1997,504
1997,508
1998,516
1998,518
1998,525
1998,538
1999,533
1999,546
1999,551
1999,564
2000,568
2000,572
2000,579
2000,581
2001,585
2001,594
2001,601
2001,603
2002,607
2002,608
2002,608
2002,610
2003,615
2003,619
2003,621
2003,623
2004,629
2004,642
2004,635
2004,646
2005,647
2005,647
2005,651
2005,658
2006,662
2006,663
2006,678
2006,681
2007,687
2007,693
2007,698
2007,700
2008,713
2008,722
2008,724
2008,727
2009,732
2009,737
2009,742
2009,747
2010,748
2010,742
2010,746
2010,750
2011,750
2011,754
2011,760
2011,760
2012,764
2012,772
2012,766
2012,771
2013,768
2013,777
2013,779
2013,782
2014,790
2014,781
2014,798
2014,795
2015,802
2015,803
2015,809
2015,821
2016,823
2016,828
2016,834
2016,845
2017,857
2017,863
2017,865
2017,853
2018,874
2018,881
2018,892
2018,897
2019,898
2019,914
2019,922
2019,934
2020,949
