DATE,UNEMPLOY
1948,2034
1948,2328
1948,2399
1948,2386
1948,2118
1948,2214
1948,2213
1948,2350
1948,2302
1948,2259
1948,2285
1948,2429
1949,2596
1949,2849
1949,3030
1949,3260
1949,3707
1949,3776
1949,4111
1949,4193
1949,4049
1949,4916
1949,3996
1949,4063
1950,4026
1950,3936
1950,3876
1950,3575
1950,3434
1950,3367
1950,3120
1950,2799
1950,2774
1950,2625
1950,2589
1950,2639
1951,2305
1951,2117
1951,2125
1951,1919
1951,1856
1951,1995
1951,1950
1951,1933
1951,2067
1951,2194
1951,2178
1951,1960
1952,1972
1952,1957
1952,1813
1952,1811
1952,1863
1952,1884
1952,1991
1952,2087
1952,1936
1952,1839
1952,1743
1952,1667
1953,1839
1953,1636
1953,1647
1953,1723
1953,1596
1953,1607
1953,1660
1953,1665
1953,1821
1953,1974
1953,2211
1953,2818
1954,3077
1954,3331
1954,3607
1954,3749
1954,3767
1954,3551
1954,3659
1954,3854
1954,3927
1954,3666
1954,3402
1954,3196
1955,3157
1955,2969
1955,2918
1955,3049
1955,2747
1955,2701
1955,2632
1955,2784
1955,2678
1955,2830
1955,2780
1955,2761
1956,2666
1956,2606
1956,2764
1956,2650
1956,2861
1956,2882
1956,2952
1956,2701
1956,2635
1956,2571
1956,2861
1956,2790
1957,2796
1957,2622
1957,2509
1957,2600
1957,2710
1957,2856
1957,2796
1957,2747
1957,2943
1957,3020
1957,3454
1957,3476
1958,3875
1958,4303
1958,4492
1958,5016
1958,5021
1958,4944
1958,5079
1958,5025
1958,4821
1958,4570
1958,4188
1958,4191
1959,4068
1959,3965
1959,3801
1959,3571
1959,3479
1959,3429
1959,3528
1959,3588
1959,3775
1959,3910
1959,4003
1959,3653
1960,3615
1960,3329
1960,3726
1960,3620
1960,3569
1960,3766
1960,3836
1960,3946
1960,3884
1960,4252
1960,4330
1960,4617
1961,4671
1961,4832
1961,4853
1961,4893
1961,5003
1961,4885
1961,4928
1961,4682
1961,4676
1961,4573
1961,4295
1961,4177
1962,4081
1962,3871
1962,3921
1962,3906
1962,3863
1962,3844
1962,3819
1962,4013
1962,3961
1962,3803
1962,4024
1962,3907
1963,4074
1963,4238
1963,4072
1963,4055
1963,4217
1963,3977
1963,4051
1963,3878
1963,3957
1963,3987
1963,4151
1963,3975
1964,4029
1964,3932
1964,3950
1964,3918
1964,3764
1964,3814
1964,3608
1964,3655
1964,3712
1964,3726
1964,3551
1964,3651
1965,3572
1965,3730
1965,3510
1965,3595
1965,3432
1965,3387
1965,3301
1965,3254
1965,3216
1965,3143
1965,3073
1965,3031
1966,2988
1966,2820
1966,2887
1966,2828
1966,2950
1966,2872
1966,2876
1966,2900
1966,2798
1966,2798
1966,2770
1966,2912
1967,2968
1967,2915
1967,2889
1967,2895
1967,2929
1967,2992
1967,2944
1967,2945
1967,2958
1967,3143
1967,3066
1967,3018
1968,2878
1968,3001
1968,2877
1968,2709
1968,2740
1968,2938
1968,2883
1968,2768
1968,2686
1968,2689
1968,2715
1968,2685
1969,2718
1969,2692
1969,2712
1969,2758
1969,2713
1969,2816
1969,2868
1969,2856
1969,3040
1969,3049
1969,2856
1969,2884
1970,3201
1970,3453
1970,3635
1970,3797
1970,3919
1970,4071
1970,4175
1970,4256
1970,4456
1970,4591
1970,4898
1970,5076
1971,4986
1971,4903
1971,4987
1971,4959
1971,4996
1971,4949
1971,5035
1971,5134
1971,5042
1971,4954
1971,5161
1971,5154
1972,5019
1972,4928
1972,5038
1972,4959
1972,4922
1972,4923
1972,4913
1972,4939
1972,4849
1972,4875
1972,4602
1972,4543
1973,4326
1973,4452
1973,4394
1973,4459
1973,4329
1973,4363
1973,4305
1973,4305
1973,4350
1973,4144
1973,4396
1973,4489
1974,4644
1974,4731
1974,4634
1974,4618
1974,4705
