Year,Unemployment Level
1990,7061
1991,8639.833333
1992,9611.166667
1993,8926.666667
1994,7975.5
1995,7406.916667
1996,7231.083333
1997,6728.666667
1998,6203.833333
1999,5878.833333
2000,5685.083333
2001,6829.666667
2002,8375.333333
2003,8770.333333
2004,8139.666667
2005,7579.166667
2006,6991.25
2007,7073.083333
2008,8948.166667
2009,14294.5
2010,14807.75
2011,13738.5
2012,12499.16667
2013,11457.16667
2014,9601.5
2015,8293.75
2016,7751.333333
2017,6982.75
2018,6314.083333
2019,6001.25
2020,12948.08333
