ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,Inflation
ALB,2017,7.673511108,7.528166911,5.064906547,9.648270526,8.343862962,7.782348591,,2.130110004
ALB,2016,7.637741803,7.875861945,5.071813726,9.55365739,8.21489951,7.472476443,10342,1.261583206
ALB,2015,7.639665554,7.904256864,5.003488819,9.585625237,8.10911841,7.595838441,10032,0.118627136
ALB,2014,7.586769305,7.882037334,4.66674035,9.629319505,8.208630309,7.547119023,9808,1.622222977
ALB,2013,7.389524705,7.807904132,4.543782476,9.690942225,7.705770861,7.199223832,9660,1.464832656
ALB,2012,7.33233158,8.096374756,4.471492107,9.710740401,7.115422011,7.267628623,9592,2.069337265
ALB,2011,7.381063619,7.820965628,4.874882436,9.775259796,7.118942527,7.315267708,9484,3.156841569
ALB,2010,7.380725467,7.839664137,5.255863188,9.725022467,7.246923526,6.836154016,9272,1.640043442
ALB,2009,7.313856211,7.785948426,5.543880229,9.63302116,7.243536052,6.362895189,8954,-0.355546266
ALB,2008,7.276252236,8.189873734,5.312341118,9.395341229,6.851790312,6.631914785,8659,3.839100297
ALB,2007,7.258078274,8.633510082,4.976205634,9.424455327,6.784653664,6.471566661,8035,2.852672482
ALB,2006,7.148668535,8.039787182,4.814244228,9.572622663,6.737935752,6.578752851,7545,3.225944101
ALB,2005,6.985648763,8.031014943,4.710359339,9.64012419,6.327471577,6.219273768,7080,3.392746845
ALB,2004,6.858748558,7.397515254,4.542351981,9.662736727,6.270655997,6.42048283,6663,2.677236693
ALB,2003,7.031750015,7.832297704,4.734069353,9.806742179,6.272499519,6.513141318,6265,2.270094973
ALB,2002,6.516059536,7.700478985,4.758499054,7.023107348,6.279985666,6.818226627,5883,1.586031627
ALB,2001,6.32228142,7.272991385,4.580780847,7.063784984,6.075489619,6.618360264,5574,2.826171119
ALB,2000,6.296170339,7.260723459,4.585351365,7.396283787,5.948379581,6.290113502,5097,3.376857271
ALB,1995,5.041307483,6.222428198,4.66086352,3.2580595,6.311576377,4.784430091,3992,2.805419689
DZA,2017,4.763471709,3.577033191,4.726463891,7.341789421,2.774951125,5.397120918,,2.130110004
DZA,2016,5.030748161,3.716933677,4.690742835,7.253893581,4.127024824,5.365145885,14331,1.261583206
DZA,2015,4.794131836,3.200157231,4.551817203,6.852789873,4.008431962,5.35746291,14004,0.118627136
DZA,2014,5.136326179,3.983686643,4.34613852,7.202944485,4.662987282,5.485873965,13744,1.622222977
DZA,2013,5.167819644,4.035976247,4.341494124,7.170856799,4.895672412,5.395098639,13494,1.464832656
DZA,2012,5.003921323,3.453623305,3.91791578,6.996765846,5.306787683,5.344514,13379,2.069337265
DZA,2011,4.996976658,3.38527507,3.481856948,7.123253831,5.6896949,5.304802543,13204,3.156841569
DZA,2010,5.160534613,3.83475922,3.839109257,7.174649972,5.788829752,5.165324861,13092,1.640043442
DZA,2009,5.286658889,3.525686778,4.165885384,7.013377351,6.097021444,5.631323486,12880,-0.355546266
DZA,2008,5.279899558,3.491659267,4.060308332,7.614566219,5.750998127,5.481965846,12910,3.839100297
DZA,2007,5.439376825,3.823206971,4.278939195,7.492020662,6.068718107,5.53399919,12842,2.852672482
DZA,2006,5.611940064,3.909694488,4.714270827,7.58085179,6.110850439,5.744032775,12639,3.225944101
DZA,2005,5.508882537,4.281688939,4.731028369,7.507687999,5.980467085,5.043540291,12619,3.392746845
DZA,2004,5.004533701,3.924179,3.522574816,6.992673688,5.670787198,4.912453804,12088,2.677236693
